product_id,product_name,category,price,stock_quantity
P001,Samsung Galaxy S21,Electronics,45999,150
P002,Nike Running Shoes,Fashion,3499,80
P003,Apple MacBook Pro,Electronics,32999,45
P004,Levi's Jeans,Fashion,2999,120
P005,Sony Headphones,Electronics,1999,200
P006,Organic Almonds,Groceries,899,0
P007,HP Laptop,Electronics,52999,60
P008,Adidas T-Shirt,Fashion,1299,150
P009,Basmati Rice 5kg,Groceries,650,300
P010,OnePlus Nord,Electronics,32999,95
P011,Puma Sneakers,Fashion,4599,70
P012,Dell Monitor 24inch,Electronics,12999,40
P013,Woodland Shoes,Fashion,5499,55
P014,iPhone 13,Electronics,69999,80
P015,Organic Honey 500g,Groceries,450,200
P016,Samsung TV 43inch,Electronics,32999,35
P017,H&M Shirt,Fashion,3249,90
P018,Masoor Dal 1kg,Groceries,120,500
P019,Boat Earbuds,Electronics,1499,250
P020,Reebok Trackpants,Fashion,1899,110
